"ID";"Joining Date";"Account Type";"Ethnicity";"Date of Birth"
"863243";"01/01/2023";"Platinum";"Other";"30/12/2007"
"893948";"01/01/2023";"Gold";"White";"01/09/2013"
"471554";"02/01/2023";"Basic";"White";"22/04/1990"
"527712";"02/01/2023";"Platinum";"White";"27/09/1996"
"761244";"02/01/2023";"Platinum";"White";"26/12/1942"
"845293";"02/01/2023";"Platinum";"Black";"28/05/1946"
"871764";"02/01/2023";"Gold";"White";"29/10/1967"
"349505";"03/01/2023";"Basic";"White";"13/09/1961"
"490910";"03/01/2023";"Basic";"White";"23/05/1981"
"754791";"03/01/2023";"Basic";"Other";"17/07/1952"
"223982";"04/01/2023";"Gold";"White";"12/08/1956"
"246208";"04/01/2023";"Platinum";"White";"11/09/1996"
"311919";"04/01/2023";"Gold";"Other";"26/06/1961"
"604893";"04/01/2023";"Platinum";"White";"10/11/1959"
"920752";"04/01/2023";"Gold";"White";"01/09/1990"
"314042";"05/01/2023";"Platinum";"Asian";"26/12/1986"
"806747";"05/01/2023";"Basic";"Other";"31/05/2007"
"829199";"05/01/2023";"Basic";"Other";"25/01/1978"
"899966";"05/01/2023";"Gold";"White";"13/02/2015"
"929308";"05/01/2023";"Basic";"Other";"19/10/2004"
"809513";"06/01/2023";"Basic";"Black";"01/01/1951"
"840464";"06/01/2023";"Gold";"Asian";"18/07/1968"
"543545";"08/01/2023";"Basic";"Asian";"30/08/1986"
"191607";"09/01/2023";"Gold";"White";"15/03/1963"
"602662";"09/01/2023";"Basic";"Other";"07/03/1958"
"174968";"10/01/2023";"Platinum";"Other";"30/09/1980"
"427577";"10/01/2023";"Basic";"Asian";"06/01/1971"
"491519";"10/01/2023";"Gold";"Asian";"04/04/1955"
"716354";"10/01/2023";"Gold";"Black";"18/12/1997"
"994611";"10/01/2023";"Basic";"Black";"19/06/1994"
"177159";"11/01/2023";"Basic";"White";"10/11/1953"
"547679";"11/01/2023";"Basic";"White";"07/02/1949"
"806735";"11/01/2023";"Platinum";"Asian";"15/04/1945"
"888481";"11/01/2023";"Basic";"Other";"14/10/2017"
"155713";"12/01/2023";"Platinum";"White";"03/07/2009"
"673358";"12/01/2023";"Platinum";"Other";"14/01/2014"
"755120";"12/01/2023";"Platinum";"Other";"06/07/1984"
"580145";"13/01/2023";"Basic";"Asian";"14/11/2015"
"674869";"13/01/2023";"Platinum";"Asian";"06/06/1991"
"683051";"13/01/2023";"Basic";"Black";"08/07/1957"
"731003";"13/01/2023";"Platinum";"White";"16/09/1941"
"176024";"14/01/2023";"Gold";"Other";"26/12/1999"
"201696";"14/01/2023";"Gold";"Asian";"05/02/1996"
"276875";"14/01/2023";"Gold";"Black";"27/08/1989"
"306487";"14/01/2023";"Basic";"Black";"26/06/1970"
"483606";"14/01/2023";"Platinum";"Other";"03/07/1941"
"119237";"15/01/2023";"Platinum";"Other";"18/09/2012"
"568991";"16/01/2023";"Gold";"White";"27/04/1979"
"933040";"16/01/2023";"Gold";"Asian";"12/12/1991"
"596558";"17/01/2023";"Gold";"Black";"22/03/1951"
"596604";"17/01/2023";"Gold";"Asian";"29/04/2000"
"888532";"17/01/2023";"Gold";"White";"11/01/2013"
"369221";"18/01/2023";"Platinum";"Black";"04/03/2019"
"611859";"18/01/2023";"Platinum";"Other";"02/12/1977"
"139746";"19/01/2023";"Gold";"Black";"27/02/1948"
"472457";"19/01/2023";"Gold";"Black";"30/01/1991"
"673141";"19/01/2023";"Gold";"White";"30/12/1955"
"742071";"19/01/2023";"Platinum";"White";"22/09/1968"
"189787";"20/01/2023";"Basic";"Black";"12/05/1986"
"733667";"20/01/2023";"Platinum";"Black";"15/11/1944"
"813344";"20/01/2023";"Gold";"White";"04/11/1966"
"102704";"23/01/2023";"Basic";"Black";"09/03/2000"
"548577";"23/01/2023";"Basic";"White";"09/05/1962"
"591154";"23/01/2023";"Basic";"Black";"01/12/2002"
"850402";"23/01/2023";"Gold";"Other";"17/09/1991"
"785116";"24/01/2023";"Gold";"White";"25/11/1957"
"943375";"24/01/2023";"Platinum";"Other";"26/07/1958"
"467914";"25/01/2023";"Gold";"Asian";"25/02/1990"
"714800";"26/01/2023";"Basic";"Asian";"25/06/1974"
"960368";"26/01/2023";"Platinum";"Asian";"05/09/1997"
"554004";"27/01/2023";"Gold";"Asian";"20/07/1997"
"626975";"27/01/2023";"Basic";"Black";"04/10/1948"
"691378";"27/01/2023";"Basic";"Other";"07/12/1979"
"772826";"28/01/2023";"Basic";"White";"29/08/1978"
"806804";"28/01/2023";"Basic";"Other";"05/10/1948"
"612794";"29/01/2023";"Basic";"Asian";"12/11/1981"
"784685";"29/01/2023";"Platinum";"White";"17/06/1968"
"806648";"29/01/2023";"Platinum";"Other";"20/08/1986"
"957631";"29/01/2023";"Basic";"Black";"19/06/1956"
"711747";"30/01/2023";"Gold";"White";"28/09/1940"
"721471";"31/01/2023";"Platinum";"Other";"17/08/1985"
"777515";"31/01/2023";"Basic";"White";"03/04/1989"
"801438";"31/01/2023";"Basic";"Asian";"20/06/1950"
"598787";"01/02/2023";"Basic";"Other";"11/09/1962"
"627428";"01/02/2023";"Platinum";"White";"05/11/2018"
"150648";"02/02/2023";"Basic";"Black";"04/06/1950"
"371550";"02/02/2023";"Basic";"Black";"20/08/2004"
"431391";"02/02/2023";"Basic";"Other";"25/04/1980"
"742364";"02/02/2023";"Gold";"Black";"09/09/1978"
"844387";"02/02/2023";"Basic";"Asian";"17/01/1950"
"866947";"02/02/2023";"Gold";"Other";"11/04/1949"
"639573";"03/02/2023";"Gold";"Other";"07/10/1943"
"867729";"03/02/2023";"Basic";"Black";"24/04/1957"
"134738";"04/02/2023";"Basic";"Asian";"21/04/1992"
"150853";"05/02/2023";"Basic";"Other";"09/07/1991"
"253467";"05/02/2023";"Basic";"Asian";"29/07/1984"
"366334";"05/02/2023";"Platinum";"Other";"15/10/1996"
"748205";"05/02/2023";"Gold";"Asian";"19/06/2002"
"239484";"06/02/2023";"Gold";"Other";"01/05/1999"
"287391";"06/02/2023";"Platinum";"Other";"25/11/1954"
"664634";"06/02/2023";"Basic";"Black";"05/03/1952"
"988008";"06/02/2023";"Gold";"Asian";"09/07/1971"
"126580";"07/02/2023";"Platinum";"Black";"17/07/1945"
"862571";"07/02/2023";"Gold";"Black";"10/03/1962"
"429112";"08/02/2023";"Basic";"Black";"20/11/1993"
"606864";"08/02/2023";"Platinum";"Other";"05/10/1945"
"633342";"08/02/2023";"Basic";"Asian";"25/03/1972"
"890043";"08/02/2023";"Basic";"White";"24/05/2010"
"141574";"09/02/2023";"Platinum";"Other";"18/12/2012"
"305931";"09/02/2023";"Platinum";"Other";"01/10/2011"
"315439";"09/02/2023";"Basic";"White";"23/05/1999"
"940601";"09/02/2023";"Platinum";"Other";"04/08/2011"
"375824";"10/02/2023";"Platinum";"Other";"05/07/1978"
"747974";"10/02/2023";"Gold";"Asian";"14/08/1966"
"828504";"10/02/2023";"Basic";"Other";"21/09/2013"
"435231";"11/02/2023";"Gold";"Black";"02/01/2012"
"436544";"11/02/2023";"Basic";"Black";"10/04/2013"
"829902";"11/02/2023";"Platinum";"Other";"14/04/1968"
"695485";"12/02/2023";"Gold";"White";"26/11/1954"
