"Transaction Date";"Bank";"Value";"Bank Rank per Month";"Avg Rank by Bank";"Avg Transaction Value per Value"
"January";"DTB";"67063";"1";"1.75";"66967.75"
"January";"DS";"50207";"2";"1.9166666666666667";"48633.666666666664"
"January";"DSB";"45036";"3";"2.3333333333333335";"34620.833333333336"
"February";"DTB";"43400";"1";"1.75";"66967.75"
"February";"DS";"31204";"2";"1.9166666666666667";"48633.666666666664"
"February";"DSB";"28622";"3";"2.3333333333333335";"34620.833333333336"
"March";"DTB";"80358";"1";"1.75";"66967.75"
"March";"DSB";"78480";"2";"2.3333333333333335";"48633.666666666664"
"March";"DS";"36799";"3";"1.9166666666666667";"34620.833333333336"
"April";"DTB";"42360";"1";"1.75";"66967.75"
"April";"DS";"40785";"2";"1.9166666666666667";"48633.666666666664"
"April";"DSB";"30317";"3";"2.3333333333333335";"34620.833333333336"
"May";"DTB";"58384";"1";"1.75";"66967.75"
"May";"DSB";"45000";"2";"2.3333333333333335";"48633.666666666664"
"May";"DS";"38715";"3";"1.9166666666666667";"34620.833333333336"
"June";"DSB";"64642";"1";"2.3333333333333335";"66967.75"
"June";"DS";"55182";"2";"1.9166666666666667";"48633.666666666664"
"June";"DTB";"19720";"3";"1.75";"34620.833333333336"
"July";"DSB";"71515";"1";"2.3333333333333335";"66967.75"
"July";"DTB";"57589";"2";"1.75";"48633.666666666664"
"July";"DS";"55002";"3";"1.9166666666666667";"34620.833333333336"
"August";"DS";"102237";"1";"1.9166666666666667";"66967.75"
"August";"DTB";"66063";"2";"1.75";"48633.666666666664"
"August";"DSB";"38167";"3";"2.3333333333333335";"34620.833333333336"
"September";"DS";"41996";"1";"1.9166666666666667";"66967.75"
"September";"DSB";"23579";"2";"2.3333333333333335";"48633.666666666664"
"September";"DTB";"23195";"3";"1.75";"34620.833333333336"
"October";"DS";"70993";"1";"1.9166666666666667";"66967.75"
"October";"DTB";"58924";"2";"1.75";"48633.666666666664"
"October";"DSB";"41707";"3";"2.3333333333333335";"34620.833333333336"
"November";"DS";"96868";"1";"1.9166666666666667";"66967.75"
"November";"DSB";"42639";"2";"2.3333333333333335";"48633.666666666664"
"November";"DTB";"37385";"3";"1.75";"34620.833333333336"
"December";"DTB";"63797";"1";"1.75";"66967.75"
"December";"DS";"33952";"2";"1.9166666666666667";"48633.666666666664"
"December";"DSB";"20785";"3";"2.3333333333333335";"34620.833333333336"
